code;name
South Africa;South Africa
China;China
India;India
Japan;Japan
Malaysia;Malaysia
Philippines;Philippines
Singapore;Singapore
Colombia;Colombia
Costa Rica;Costa Rica
Brazil;Brazil
Guatemala;Guatemala
Mexico;Mexico
Egypt;Egypt
Israel;Israel
Turkey;Turkey
Canada;Canada
USA;USA
Australia;Australia
Bulgaria;Bulgaria
France;France
Hungary;Hungary
Italy;Italy
Germany;Germany
Netherlands;Netherlands
Poland;Poland
Portugal;Portugal
Republic of Ireland;Republic of Ireland
Romania;Romania
Switzerland;Switzerland
United Kingdom;United Kingdom



